feature,score
lst6TimeIntervalWith7sorted,34
ratiosorted,34
iscountryWithNQ1_0,34
timeTrans52with3orlst1TimeIntervalWith5sorted,33
lst0TimeIntervalWith3orlastActionTimeStamp7sorted,32
maxTimeIntervalWithAction1sorted,32
stdTimeIntervalWith10sorted,31
timeMax23,31
minTimeIntervalWithAction6oravgTimeIntervalWithAction4sorted,31
timeTrans1with20sorted,30
timeTrans37with20sorted,30
timeTrans5with5sorted,30
diffActionType8sorted,30
boughtQ_1sorted,30
stdTimeIntervalWithAction7orlst0TimeIntervalWith3,30
timeMax53,29
timeMax53sorted,29
lst0TimeIntervalWith3,29
lstTimeIntervalorlastActionTimeStamp7sorted,29
maxTimeIntervalWithAction9sorted,29
actionTrans41with20sorted,29
lst2TimeIntervalWith7,28
lst2TimeIntervalWith5,27
lst5TimeIntervalWith10sorted,27
timeTrans73with20,27
lst3TimeIntervalWith7sorted,26
actionRatio5with20sorted,26
maxTimeIntervalWithAction7orlst1TimeIntervalWith3,25
lst6TimeIntervalWith10sorted,25
boughtQ_0,25
lstTimeIntervalsorted,25
lst1TimeIntervalWith5ormaxTimeIntervalWithAction7sorted,25
minTimeIntervalWithAction6ormaxTimeIntervalWithAction1sorted,24
maxTimeIntervalWithAction7orlstTimeInterval,24
lst3TimeIntervalWith5sorted,23
lst0TimeIntervalWith5,23
timeMax52sorted,23
timeMax19,23
lst1TimeIntervalWith7,23
iscountryWithNQ1_1,23
stdTimeIntervalWithAction7orlstTimeIntervalsorted,23
timeTrans46sorted,22
lst0TimeIntervalWith7,22
lst0TimeIntervalWith10,22
maxTimeIntervalWithAction7orlst1TimeIntervalWith3sorted,22
lst3TimeIntervalWith10,22
oneHodeCode2,21
maxTimeIntervalWithAction7orlstTimeIntervalsorted,21
timeTrans51with10sorted,21
actionRatio5with7sorted,21
actionRatio7with5,21
minTimeIntervalWithAction6oravgTimeIntervalWithAction1sorted,20
timeMin51sorted,20
timeTrans51sorted,19
lst2TimeIntervalWith10,19
lst0TimeIntervalWith3oravgTimeIntervalWithAction5,19
minTimeIntervalWithAction6orlst1TimeIntervalWith5sorted,18
lst3TimeIntervalWith10sorted,18
lst0TimeIntervalWith3sorted,16
stdTimeIntervalWithAction7orlst0TimeIntervalWith3sorted,16
lst0TimeIntervalWith3ormaxTimeIntervalWithAction7sorted,16
oneHodeCode2sorted,15
lst1TimeIntervalWith3sorted,15
lst0TimeIntervalWith3oravgTimeIntervalWithAction5sorted,15
actionRatio7with5sorted,15
timeTrans73with20sorted,15
avgTimeIntervalWithAction5orlstTimeIntervalsorted,15
actionRatio8with15,14
lst2TimeIntervalWith10sorted,14
actionTrans50with20sorted,14
timeTrans71,14
timeTrans50with3sorted,14
actionTrans53with20,13
boughtQ_0sorted,13
lst2TimeIntervalWith3sorted,12
timeTrans1with5sorted,12
iscityWithNQ2_1sorted,12
iscityWithNQ2_0,11
iscityWithNQ2_1,11
timeTrans40with10,11
timeMax19sorted,11
lst1TimeIntervalWith7sorted,11
timeTrans10sorted,11
province32,11
timeTrans50with5sorted,10
lst1TimeIntervalWith5sorted,10
lst0TimeIntervalWith5sorted,10
lst0TimeIntervalWith7sorted,10
lst1TimeIntervalWith10sorted,10
lst2TimeIntervalWith7sorted,10
minTimeIntervalWithAction6orlst1TimeIntervalWith3sorted,10
timeVariance68,10
iscountryWithNQ1_0sorted,9
timeMax23sorted,8
iscountryWithNQ1_1sorted,8
lst1TimeIntervalWith10,8
timeVariance12,8
lst0TimeIntervalWith10sorted,8
timeTrans59with10,7
timeVariance23,7
iscityWithNQ2_0sorted,7
timeTrans19with10,6
actionTrans53with20sorted,6
lastThirdActionType_5,6
timeTrans62with20,5
lastThirdActionType_5sorted,5
actionRatio8with15sorted,5
actionTrans40with10,4
province32sorted,4
timeVariance62,4
timeTrans19with10sorted,4
timeVariance12sorted,3
actionTrans71sorted,3
actionTrans71,3
timeTrans7,3
actionTrans50with3,3
actionTrans22sorted,2
timeVariance23sorted,2
lst2TimeIntervalWith5sorted,2
timeTrans62with20sorted,2
timeTrans40with10sorted,1
timeVariance68sorted,1
actionRatio8with5,1
actionTrans22,1
actionTrans40with10sorted,1
lastActionType_7sorted,1
lastActionType_5,1
actionRatio8with5sorted,1
